Timestamp, LinearX, LinearY, LinearZ, AngularX, AngularY, AngularZ, MagnetX, MagnetY, MagnetZ
0, -0.946044921875, 0.043212890625, -0.3232421875, 0.3662109076976776, -0.2441406100988388, -0.2441406100988388, 41.0, 14.0, -28.0 
16, -0.94580078125, 0.0465087890625, -0.322265625, 0.2441406100988388, -0.1831054538488388, -0.30517578125, 41.0, 14.0, -28.0 
31, -0.9462890625, 0.0462646484375, -0.3204345703125, 0.30517578125, -0.1220703050494194, -0.2441406100988388, 41.0, 14.0, -28.0 
51, -0.947021484375, 0.04443359375, -0.3204345703125, 0.1831054538488388, -0.1220703050494194, -0.3662109076976776, 41.0, 15.0, -24.0 
73, -0.947265625, 0.04541015625, -0.319091796875, 0.1220703050494194, -0.1831054538488388, -0.3662109076976776, 41.0, 15.0, -24.0 
95, -0.9453125, 0.045654296875, -0.3167724609375, 0.6713866591453552, -0.3662109076976776, -0.1831054538488388, 41.0, 15.0, -24.0 
112, -0.9454345703125, 0.044677734375, -0.3206787109375, 0.6103515625, -0.4272460639476776, -0.2441406100988388, 41.0, 15.0, -24.0 
129, -0.9464111328125, 0.04638671875, -0.3233642578125, 0.30517578125, -0.3662109076976776, -0.2441406100988388, 41.0, 15.0, -24.0 
149, -0.9459228515625, 0.047119140625, -0.3223876953125, 0.2441406100988388, -0.1831054538488388, -0.1220703050494194, 42.0, 12.0, -26.0 
165, -0.9464111328125, 0.0435791015625, -0.3214111328125, 0.30517578125, -0.1220703050494194, -0.0610351525247097, 42.0, 12.0, -26.0 
181, -0.9456787109375, 0.0462646484375, -0.3214111328125, 0.2441406100988388, -0.1220703050494194, -0.1220703050494194, 42.0, 12.0, -26.0 
196, -0.9456787109375, 0.04736328125, -0.3204345703125, 0.7324218153953552, -0.1831054538488388, -0.0610351525247097, 42.0, 12.0, -26.0 
218, -0.946044921875, 0.046142578125, -0.3177490234375, 1.03759765625, -0.30517578125, 0.0, 42.0, 12.0, -26.0 
236, -0.9478759765625, 0.0479736328125, -0.3203125, 0.9155272841453552, -0.30517578125, 0.0, 40.0, 14.0, -23.0 
253, -0.9468994140625, 0.0447998046875, -0.322265625, 0.7934569716453552, -0.30517578125, -0.1220703050494194, 40.0, 14.0, -23.0 
275, -0.9466552734375, 0.043212890625, -0.3231201171875, 0.6103515625, -0.2441406100988388, -0.1220703050494194, 40.0, 14.0, -23.0 
293, -0.94580078125, 0.046630859375, -0.3218994140625, 0.54931640625, -0.0610351525247097, -0.1831054538488388, 40.0, 14.0, -23.0 
312, -0.94677734375, 0.04833984375, -0.3218994140625, 0.6713866591453552, -0.0610351525247097, -0.1831054538488388, 40.0, 14.0, -23.0 
329, -0.94775390625, 0.0462646484375, -0.3216552734375, 0.54931640625, -0.0610351525247097, -0.1220703050494194, 40.0, 14.0, -23.0 
345, -0.9461669921875, 0.0457763671875, -0.31689453125, 0.3662109076976776, -0.0610351525247097, -0.1831054538488388, 40.0, 12.0, -28.0 
366, -0.94677734375, 0.04541015625, -0.3165283203125, 0.4882812201976776, -0.1220703050494194, -0.2441406100988388, 40.0, 12.0, -28.0 
383, -0.9468994140625, 0.0457763671875, -0.319580078125, 0.6103515625, -0.3662109076976776, -0.1831054538488388, 40.0, 12.0, -28.0 
402, -0.9456787109375, 0.0484619140625, -0.3201904296875, 0.4272460639476776, -0.4882812201976776, -0.2441406100988388, 40.0, 12.0, -28.0 
418, -0.945556640625, 0.0498046875, -0.3236083984375, 0.4882812201976776, -0.3662109076976776, -0.1220703050494194, 40.0, 12.0, -28.0 
434, -0.9462890625, 0.0447998046875, -0.322509765625, 0.30517578125, -0.1220703050494194, -0.1220703050494194, 40.0, 12.0, -28.0 
456, -0.9461669921875, 0.045654296875, -0.3216552734375, 0.1220703050494194, -0.1220703050494194, -0.1831054538488388, 40.0, 9.0, -23.0 
473, -0.947265625, 0.0477294921875, -0.3177490234375, 0.4882812201976776, -0.0610351525247097, -0.0610351525247097, 40.0, 9.0, -23.0 
492, -0.9473876953125, 0.0457763671875, -0.3167724609375, 0.7934569716453552, -0.30517578125, 0.0610351525247097, 40.0, 9.0, -23.0 
507, -0.94580078125, 0.047119140625, -0.3170166015625, 0.4272460639476776, -0.4272460639476776, -0.1220703050494194, 40.0, 9.0, -23.0 
524, -0.9464111328125, 0.0511474609375, -0.318603515625, 0.30517578125, -0.4882812201976776, -0.0610351525247097, 40.0, 9.0, -23.0 
546, -0.9478759765625, 0.0478515625, -0.3197021484375, 0.3662109076976776, -0.54931640625, 0.0610351525247097, 42.0, 11.0, -33.0 
564, -0.947021484375, 0.047607421875, -0.31982421875, 0.0610351525247097, -0.7324218153953552, 0.0610351525247097, 42.0, 11.0, -33.0 
584, -0.947265625, 0.0477294921875, -0.3197021484375, 0.4882812201976776, -0.7934569716453552, 0.0610351525247097, 42.0, 11.0, -33.0 
602, -0.94677734375, 0.0423583984375, -0.3199462890625, 0.4882812201976776, -0.7934569716453552, 0.0610351525247097, 42.0, 11.0, -33.0 
623, -0.946533203125, 0.0443115234375, -0.320556640625, 0.1831054538488388, -0.7324218153953552, -0.2441406100988388, 42.0, 11.0, -33.0 
641, -0.9466552734375, 0.0482177734375, -0.3226318359375, 0.54931640625, -0.7324218153953552, -0.1220703050494194, 39.0, 9.0, -26.0 
658, -0.9461669921875, 0.046875, -0.3236083984375, 0.6713866591453552, -0.7324218153953552, -0.1831054538488388, 39.0, 9.0, -26.0 
675, -0.945068359375, 0.0462646484375, -0.3206787109375, 0.1831054538488388, -0.6713866591453552, -0.30517578125, 39.0, 9.0, -26.0 
692, -0.9471435546875, 0.0494384765625, -0.3214111328125, 0.0, -0.7324218153953552, -0.30517578125, 39.0, 9.0, -26.0 
713, -0.9468994140625, 0.0491943359375, -0.3216552734375, 0.0, -0.7324218153953552, -0.1831054538488388, 39.0, 9.0, -26.0 
729, -0.946533203125, 0.0469970703125, -0.3204345703125, 0.0, -0.7324218153953552, -0.2441406100988388, 39.0, 9.0, -26.0 
747, -0.9444580078125, 0.04833984375, -0.3211669921875, 0.54931640625, -0.7934569716453552, -0.1220703050494194, 42.0, 11.0, -24.0 
769, -0.9459228515625, 0.0479736328125, -0.3248291015625, 0.8544921278953552, -0.7324218153953552, 0.0610351525247097, 42.0, 11.0, -24.0 
787, -0.9461669921875, 0.0487060546875, -0.32470703125, 0.4882812201976776, -0.6713866591453552, 0.0610351525247097, 42.0, 11.0, -24.0 
813, -0.9456787109375, 0.0482177734375, -0.3204345703125, 0.4882812201976776, -0.6713866591453552, 0.1220703050494194, 42.0, 11.0, -24.0 
831, -0.94580078125, 0.046630859375, -0.3216552734375, 0.4272460639476776, -0.6713866591453552, 0.1220703050494194, 42.0, 11.0, -24.0 
849, -0.9453125, 0.04833984375, -0.3240966796875, 0.4272460639476776, -0.6713866591453552, 0.1220703050494194, 41.0, 12.0, -29.0 
867, -0.9464111328125, 0.048828125, -0.32568359375, 0.0610351525247097, -0.4882812201976776, 0.0610351525247097, 41.0, 12.0, -29.0 
885, -0.946533203125, 0.05126953125, -0.3251953125, -0.0610351525247097, -0.4882812201976776, 0.1220703050494194, 41.0, 12.0, -29.0 
902, -0.9442138671875, 0.044921875, -0.3204345703125, -0.1220703050494194, -0.4272460639476776, 0.0610351525247097, 41.0, 12.0, -29.0 
922, -0.9443359375, 0.0439453125, -0.3193359375, -0.3662109076976776, -0.4272460639476776, -0.0610351525247097, 41.0, 12.0, -29.0 
940, -0.9478759765625, 0.05029296875, -0.3221435546875, 1.15966796875, -0.6713866591453552, 0.30517578125, 40.0, 12.0, -27.0 
960, -0.9459228515625, 0.0482177734375, -0.3245849609375, 1.15966796875, -0.6103515625, 0.30517578125, 40.0, 12.0, -27.0 
975, -0.945068359375, 0.04931640625, -0.3253173828125, 0.3662109076976776, -0.4272460639476776, 0.1831054538488388, 40.0, 12.0, -27.0 
996, -0.9456787109375, 0.0487060546875, -0.32373046875, -0.1220703050494194, -0.3662109076976776, 0.0, 40.0, 12.0, -27.0 
1014, -0.945556640625, 0.042724609375, -0.322265625, -0.4272460639476776, -0.3662109076976776, -0.0610351525247097, 40.0, 12.0, -27.0 
1035, -0.944580078125, 0.0460205078125, -0.3236083984375, -0.1831054538488388, -0.3662109076976776, -0.1220703050494194, 40.0, 12.0, -27.0 
1049, -0.9459228515625, 0.0489501953125, -0.3238525390625, 0.1220703050494194, -0.4272460639476776, -0.1220703050494194, 40.0, 12.0, -27.0 
