Timestamp, LinearX, LinearY, LinearZ, AngularX, AngularY, AngularZ, MagnetX, MagnetY, MagnetZ
0, -0.9639892578125, 0.1519775390625, 0.07421875, -0.1220703050494194, -0.1831054538488388, -0.0610351525247097, 17.0, 22.0, 11.0 
20, -0.96533203125, 0.151611328125, 0.07421875, -0.1220703050494194, -0.2441406100988388, 0.0, 17.0, 22.0, 11.0 
38, -0.965576171875, 0.153076171875, 0.0767822265625, -0.0610351525247097, -0.30517578125, 0.0, 17.0, 22.0, 11.0 
56, -0.9654541015625, 0.1514892578125, 0.0771484375, -0.4272460639476776, -0.1220703050494194, -0.0610351525247097, 16.0, 21.0, 10.0 
77, -0.9658203125, 0.14990234375, 0.0787353515625, -0.30517578125, -0.0610351525247097, 0.0610351525247097, 16.0, 21.0, 10.0 
94, -0.965087890625, 0.1480712890625, 0.080810546875, -0.3662109076976776, 0.0, 0.0610351525247097, 16.0, 21.0, 10.0 
113, -0.965087890625, 0.151123046875, 0.0823974609375, -0.2441406100988388, 0.0, 0.0610351525247097, 16.0, 21.0, 10.0 
131, -0.96484375, 0.153564453125, 0.08203125, -0.1220703050494194, -0.0610351525247097, 0.0, 16.0, 21.0, 10.0 
148, -0.96484375, 0.15283203125, 0.07958984375, 0.0610351525247097, -0.0610351525247097, -0.0610351525247097, 16.0, 21.0, 10.0 
169, -0.9654541015625, 0.1492919921875, 0.078369140625, 0.0610351525247097, -0.0610351525247097, -0.1220703050494194, 18.0, 22.0, 9.0 
191, -0.9652099609375, 0.1480712890625, 0.0787353515625, 0.0, -0.0610351525247097, -0.0610351525247097, 18.0, 22.0, 9.0 
213, -0.965087890625, 0.1492919921875, 0.080078125, -0.3662109076976776, -0.0610351525247097, -0.1220703050494194, 18.0, 22.0, 9.0 
229, -0.9652099609375, 0.15283203125, 0.0780029296875, -0.6103515625, 0.0, 0.0, 18.0, 22.0, 9.0 
247, -0.9649658203125, 0.1510009765625, 0.0771484375, -0.4882812201976776, -0.0610351525247097, 0.0, 18.0, 22.0, 9.0 
265, -0.9661865234375, 0.1514892578125, 0.0787353515625, -0.1831054538488388, -0.1831054538488388, -0.0610351525247097, 17.0, 20.0, 15.0 
